soldier_id,password,phone,first_name,last_name,department,class,role
1,12345,500000001,eliezer,levi,3,4,mm_commander
2,12345,500000002,din,eliyahu,3,1,soldier
3,12345,500000003,nadav,frank,3,3,mc_commander
4,12345,500000004,lior,chay,3,2,mc_commander
5,12345,500000005,oren,anz,3,1,mc_commander
6,12345,500000006,itay,tavori,3,1,soldier
7,12345,500000007,alon,cohen,3,3,soldier
8,12345,500000008,asaf,shnaid,3,2,soldier
9,12345,500000009,ben,cohen,3,3,soldier
10,12345,506220421,aviel,yehuda,3,4,mp_commander
